,nblobs,areas,area0,area1
0,2,,2150.5,1643.5
1,2,,2146.5,1627.0
2,2,,2110.5,1672.5
3,2,,2117.0,1624.5
4,2,,2159.5,1658.0
5,2,,2141.5,1683.0
6,2,,2107.0,1802.5
7,2,,2058.5,1949.5
8,2,,2043.5,1944.0
9,2,,2071.0,1974.0
10,2,,2086.0,1958.0
11,2,,2049.5,1994.0
12,2,,2040.0,2003.0
13,2,,2055.5,2052.5
14,2,,2071.0,2059.0
15,2,,2101.5,2044.5
16,2,,2112.0,2027.0
17,2,,2093.0,2030.0
18,2,,2120.0,2019.5
19,2,,2119.0,2018.5
20,2,,2154.5,2079.5
21,2,,2213.5,2025.5
22,2,,2167.5,2006.0
23,2,,2190.0,1947.5
24,2,,2209.5,1940.0
25,2,,2224.0,2010.0
26,2,,2252.5,2034.0
27,2,,2246.5,2080.0
28,2,,2237.0,2014.0
29,2,,2218.5,1979.5
30,2,,2183.5,1962.0
31,2,,2235.0,1961.0
32,2,,2271.5,1957.5
33,2,,2230.0,2001.5
34,2,,2204.0,2005.5
35,2,,2204.0,2004.5
36,2,,2209.0,2095.5
37,2,,2204.0,2020.0
38,2,,2265.5,2037.0
39,2,,2181.0,2051.0
40,2,,2180.5,2068.5
41,2,,2201.0,2054.0
42,2,,2182.0,2020.5
43,2,,2241.0,2034.0
44,2,,2212.5,2096.0
45,2,,2287.5,2123.0
46,2,,2212.0,2133.0
47,2,,2198.5,2093.5
48,2,,2169.0,2093.0
49,2,,2184.0,2080.0
50,2,,2198.5,2078.5
51,2,,2203.0,2119.5
52,2,,2214.0,2170.0
53,2,,2223.0,2169.0
54,2,,2248.0,2137.5
55,2,,2233.5,2137.0
56,2,,2233.0,2134.5
57,2,,2250.0,2129.5
58,2,,2239.0,2125.5
59,2,,2207.0,2121.5
60,2,,2171.0,2132.5
61,2,,2162.0,2137.0
62,2,,2150.5,2131.0
63,2,,2135.0,2134.5
64,2,,2145.0,2119.5
65,2,,2125.0,2108.0
66,2,,2109.0,2088.5
67,2,,2108.5,2081.5
68,2,,2119.0,2074.0
69,2,,2164.0,2084.5
70,2,,2088.5,2046.0
71,2,,2072.0,2012.5
72,2,,2079.0,2053.0
73,2,,2093.5,2082.0
74,2,,2083.0,2073.5
75,2,,2113.5,2041.0
76,2,,2068.0,2056.0
77,2,,2060.0,2013.0
78,2,,2088.5,2016.5
79,2,,2140.0,2043.0
80,2,,2070.5,2045.0
81,2,,2056.0,1998.0
82,2,,2016.5,1996.5
83,2,,2015.0,1964.0
84,2,,2006.5,1908.5
85,2,,2039.0,1914.5
86,2,,2022.0,1922.5
87,2,,2032.0,1988.5
88,2,,2058.0,1958.5
89,2,,2012.0,2005.5
90,2,,2030.0,1993.0
91,2,,2032.0,1997.5
92,2,,2046.5,2000.5
93,2,,2024.5,2023.0
94,2,,2040.5,2019.5
95,2,,2066.0,2058.5
96,2,,2064.5,2063.0
97,2,,2074.0,2028.5
98,2,,2069.5,2029.0
99,2,,2087.5,1995.5
100,2,,2094.0,2062.0
101,2,,2087.5,2021.5
102,2,,2078.5,2063.0
103,2,,2112.5,2056.0
104,2,,2118.5,2094.5
105,2,,2135.5,2080.0
106,2,,2097.5,2059.0
107,2,,2061.0,2035.5
108,2,,2073.0,2020.0
109,2,,2075.5,2061.5
110,2,,2105.0,2092.0
111,2,,2121.5,2085.0
112,2,,2146.5,2068.5
113,2,,2098.5,2073.0
114,2,,2084.0,2036.0
115,2,,2079.5,2017.5
116,2,,2086.5,1959.5
117,2,,2117.5,1945.0
118,2,,2038.0,1985.5
119,2,,2026.5,1965.5
120,2,,2032.0,1938.0
121,2,,2025.5,1923.0
122,2,,2022.5,1925.5
123,2,,2027.5,1917.0
124,2,,2042.0,1900.5
125,2,,2059.5,1903.0
126,2,,2075.0,1947.0
127,2,,2035.0,1899.0
128,2,,1926.0,1882.5
129,2,,1939.0,1875.0
130,2,,1949.5,1881.0
131,2,,1955.0,1939.5
132,2,,2042.0,1954.5
133,2,,2012.0,1939.0
134,2,,2060.5,1911.0
135,2,,2033.5,1900.0
136,2,,2023.5,1887.0
137,2,,2007.0,1900.5
138,2,,1979.5,1914.5
139,2,,1887.0,1881.0
140,2,,1857.0,1820.0
141,2,,1924.5,1817.0
142,2,,1881.0,1855.5
143,2,,1874.5,1853.0
144,2,,1882.5,1764.0
145,2,,1855.0,1684.0
146,2,,1796.5,1640.0
147,2,,1788.5,1657.5
148,2,,1801.5,1689.0
149,2,,1783.5,1728.0
150,2,,1786.5,1713.0
151,2,,1799.0,1783.0
152,2,,1774.5,1678.5
153,2,,1758.5,1737.0
154,2,,1785.5,1771.0
155,2,,1923.5,1729.5
156,2,,1976.0,1730.5
157,2,,1967.5,1705.5
158,2,,1942.5,1664.0
159,2,,1929.0,1684.5
160,2,,1936.5,1638.5
161,2,,1927.0,1653.5
162,2,,1924.0,1678.0
163,2,,1936.5,1739.0
164,2,,1925.5,1690.0
165,2,,1923.5,1674.0
166,2,,1926.0,1660.0
167,2,,1921.5,1675.5
168,2,,1914.5,1690.5
169,2,,1897.0,1658.0
170,2,,1914.0,1628.5
171,2,,1907.5,1669.0
172,2,,1905.5,1679.5
173,2,,1902.0,1655.0
174,2,,1901.0,1676.0
